iter	Logloss
0	0.5179597189
1	0.3735975525
2	0.2579389403
3	0.1765103608
4	0.1201535829
5	0.08409017799
6	0.06181598259
7	0.0441784706
8	0.03127705543
9	0.0224004602
10	0.01679956286
11	0.01291998363
12	0.00960425388
13	0.007482812007
14	0.005851711378
15	0.004677236159
16	0.00378191234
17	0.003024515858
18	0.002447219418
19	0.00208629802
20	0.001812424661
21	0.001520924329
22	0.001292762639
23	0.001097233486
24	0.0009619018999
25	0.0008145446069
26	0.0007214889027
27	0.0006544204129
28	0.0005673599814
29	0.0005206131221
30	0.0004745125388
31	0.0004237007416
32	0.0003912078812
33	0.0003488437026
34	0.0003232319625
35	0.0002953253706
36	0.0002836040336
37	0.0002609771521
38	0.0002534676959
39	0.0002332765391
40	0.000233273537
41	0.0002244862357
42	0.0002089950657
43	0.0002089758133
44	0.0001977240925
45	0.0001874822134
46	0.0001859284482
47	0.000173054668
48	0.0001714590512
49	0.0001630359261
50	0.0001587282458
51	0.0001533695376
52	0.0001533695376
53	0.0001533695376
54	0.0001533719218
55	0.0001533607152
56	0.0001476127887
57	0.0001476058104
58	0.0001476148932
59	0.0001397438895
60	0.0001397438895
61	0.0001320957577
62	0.0001320988969
63	0.0001320988969
64	0.0001320988969
65	0.0001320988969
66	0.0001299958517
67	0.0001299931934
68	0.0001299895165
69	0.0001299895165
70	0.000127633482
71	0.000127633482
72	0.000127633482
73	0.0001252008892
74	0.0001251996665
75	0.0001251996665
76	0.0001251996665
77	0.0001251996665
78	0.0001251996665
79	0.0001251996665
80	0.0001251953586
81	0.0001251953586
82	0.0001251953586
83	0.0001251953586
84	0.0001193073089
85	0.0001193099542
86	0.0001193099542
87	0.0001183864797
88	0.000118381518
89	0.0001107408467
90	0.0001107408467
91	0.0001107408467
92	0.0001107408467
93	0.0001107376601
94	0.000110740219
95	0.0001097213253
96	0.0001097213253
97	0.0001076251476
98	0.0001076251476
99	0.0001076251476
100	0.00010645771
101	0.0001055952328
102	0.0001055952328
103	0.0001055915937
104	0.0001055970233
105	0.0001055970233
106	0.0001055970233
107	0.0001055970233
108	0.0001055970233
109	0.0001055970233
110	0.0001055970233
111	0.0001034538261
112	0.0001034538261
113	0.0001034401229
114	0.0001034447659
115	0.0001034447659
116	0.0001034447659
117	0.0001018111872
118	0.0001009357647
119	0.0001009357647
120	0.0001009367975
121	0.0001009367975
122	0.0001009367975
123	0.0001009367975
124	0.0001009446318
125	0.0001009311001
126	0.0001009311001
127	0.0001009311001
128	0.0001009349006
129	0.0001009349006
130	0.0001009373592
131	0.0001009321033
132	9.917368089e-05
133	9.917368089e-05
134	9.824600303e-05
135	9.824600303e-05
136	9.825170023e-05
137	9.825170023e-05
138	9.824352498e-05
139	9.824352498e-05
140	9.824352498e-05
141	9.656977465e-05
142	9.5591405e-05
143	9.5591405e-05
144	9.557765783e-05
145	9.557765783e-05
146	9.360679695e-05
147	9.360679695e-05
148	9.277218805e-05
149	9.277218805e-05
150	9.277218805e-05
151	9.198064343e-05
152	9.198064343e-05
153	9.198064343e-05
154	9.198064343e-05
155	9.198064343e-05
156	9.198064343e-05
157	9.198064343e-05
158	9.198064343e-05
159	9.111921474e-05
160	8.953338311e-05
161	8.952456416e-05
162	8.952456416e-05
163	8.952456416e-05
164	8.952456416e-05
165	8.881665267e-05
166	8.881665267e-05
167	8.726405858e-05
168	8.726405858e-05
169	8.589557856e-05
170	8.589557856e-05
171	8.589412008e-05
172	8.589412008e-05
173	8.588699018e-05
174	8.588699018e-05
175	8.588699018e-05
176	8.588699018e-05
177	8.588699018e-05
178	8.588699018e-05
179	8.589295894e-05
180	8.589295894e-05
181	8.589295894e-05
182	8.588939662e-05
183	8.588939662e-05
184	8.510318918e-05
185	8.510077881e-05
186	8.510077881e-05
187	8.510518816e-05
188	8.379399021e-05
189	8.379399021e-05
190	8.305468946e-05
191	8.305468946e-05
192	8.305943564e-05
193	8.304949475e-05
194	8.304949475e-05
195	8.305491732e-05
196	8.303794679e-05
197	8.303794679e-05
198	8.303794679e-05
199	8.303794679e-05
200	8.303794679e-05
201	8.303794679e-05
202	8.303794679e-05
203	8.303794679e-05
204	8.303794679e-05
205	8.303794679e-05
206	8.303794679e-05
207	8.303794679e-05
208	8.244531317e-05
209	8.244332204e-05
210	8.174628508e-05
211	8.175396253e-05
212	8.175396253e-05
213	8.175396253e-05
214	8.175396253e-05
215	8.175396253e-05
216	8.175396253e-05
217	8.175396253e-05
218	8.175396253e-05
219	8.175114025e-05
220	8.175114025e-05
221	8.174726106e-05
222	8.174726106e-05
223	8.174391113e-05
224	8.174391113e-05
225	8.174391113e-05
226	8.175101889e-05
227	8.175101889e-05
228	8.175101889e-05
229	8.175101889e-05
230	8.175101889e-05
231	8.175101889e-05
232	8.173550611e-05
233	8.173550611e-05
234	8.173550611e-05
235	8.173550611e-05
236	8.17429969e-05
237	8.171301047e-05
238	8.171301047e-05
239	8.171301047e-05
240	8.171301047e-05
241	8.171301047e-05
242	8.171301047e-05
243	8.172893339e-05
244	8.174005094e-05
245	8.174005094e-05
246	8.174005094e-05
247	8.172303652e-05
248	8.172303652e-05
249	8.174438893e-05
250	8.174438893e-05
251	8.175241981e-05
252	8.175241981e-05
253	8.17439611e-05
254	8.17439611e-05
255	8.17439611e-05
256	8.17439611e-05
257	8.17439611e-05
258	8.17439611e-05
259	8.17439611e-05
260	8.17439611e-05
261	8.17439611e-05
262	8.17439611e-05
263	8.17439611e-05
264	8.17439611e-05
265	8.17439611e-05
266	8.17439611e-05
267	8.17439611e-05
268	8.17439611e-05
269	8.17439611e-05
270	8.17439611e-05
271	8.17439611e-05
272	8.17439611e-05
273	8.17439611e-05
274	8.17439611e-05
275	8.17439611e-05
276	8.17439611e-05
277	8.17439611e-05
278	8.17439611e-05
279	8.17439611e-05
280	8.17439611e-05
281	8.17439611e-05
282	8.17439611e-05
283	8.17439611e-05
284	8.17439611e-05
285	8.17439611e-05
286	8.17439611e-05
287	8.17439611e-05
288	8.17439611e-05
289	8.17439611e-05
290	8.17439611e-05
291	8.17439611e-05
292	8.17439611e-05
293	8.17439611e-05
294	8.17439611e-05
295	8.17439611e-05
296	8.17439611e-05
297	8.17439611e-05
298	8.17439611e-05
299	8.17439611e-05
300	8.17439611e-05
301	8.17439611e-05
302	8.17439611e-05
303	8.17439611e-05
304	8.17439611e-05
305	8.17439611e-05
306	8.17439611e-05
307	8.17439611e-05
308	8.17439611e-05
309	8.17439611e-05
310	8.17439611e-05
311	8.17439611e-05
312	8.17439611e-05
313	8.17439611e-05
314	8.17439611e-05
315	8.17439611e-05
316	8.17439611e-05
317	8.17439611e-05
318	8.17439611e-05
319	8.17439611e-05
320	8.17439611e-05
321	8.17439611e-05
322	8.17439611e-05
323	8.17439611e-05
324	8.17439611e-05
325	8.17439611e-05
326	8.17439611e-05
327	8.17439611e-05
328	8.17439611e-05
329	8.17439611e-05
330	8.17439611e-05
331	8.17439611e-05
332	8.17439611e-05
333	8.17439611e-05
334	8.17439611e-05
335	8.17439611e-05
336	8.17439611e-05
337	8.17439611e-05
338	8.17439611e-05
339	8.17439611e-05
340	8.17439611e-05
341	8.17439611e-05
342	8.17439611e-05
343	8.17439611e-05
344	8.17439611e-05
345	8.17439611e-05
346	8.17439611e-05
347	8.17439611e-05
348	8.17439611e-05
349	8.17439611e-05
350	8.17439611e-05
351	8.17439611e-05
352	8.17439611e-05
353	8.17439611e-05
354	8.17439611e-05
355	8.17439611e-05
356	8.17439611e-05
357	8.17439611e-05
358	8.17439611e-05
359	8.17439611e-05
360	8.17439611e-05
361	8.17439611e-05
362	8.17439611e-05
363	8.17439611e-05
364	8.17439611e-05
365	8.17439611e-05
366	8.17439611e-05
367	8.17439611e-05
368	8.17439611e-05
369	8.17439611e-05
370	8.17439611e-05
371	8.17439611e-05
372	8.17439611e-05
373	8.17439611e-05
374	8.17439611e-05
375	8.17439611e-05
376	8.17439611e-05
377	8.17439611e-05
378	8.17439611e-05
379	8.17439611e-05
380	8.17439611e-05
381	8.17439611e-05
382	8.17439611e-05
383	8.17439611e-05
384	8.17439611e-05
385	8.17439611e-05
