id,started_at,ended_at,method,label,recv_port,baud,channel,host,git_commit
11909190-754b-4bcc-a933-8c4dc2b2ad71,2026-08-28 15:04:54.733008-04,2026-08-28 16:04:26.811868-04,4.3,baseline_1hr,/dev/cu.usbmodem21201,115200,11,dtilakenonalabs-Mac-mini.local,ce988aa
f0fe4c76-980c-4660-af98-7c72528f6f9e,2026-08-28 16:05:11.297137-04,2026-08-28 17:05:07.327216-04,4.3,object_1hr,/dev/cu.usbmodem21201,115200,11,dtilakenonalabs-Mac-mini.local,ce988aa
